Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Máximo Perrone,Como,23,ARG,"DM,CM",21-271,90,0,1,0,0,0,0,0,0,93,0,0,0,0.0,0.0,0.0,1,1,83,90,"92,2",4,55,1,0,0,2024-10-04
Sergi Roberto,Como,20,ESP,"DM,RB",32-240,90,0,0,0,0,1,0,0,0,107,1,2,1,0.0,0.0,0.0,5,0,97,100,"97,0",2,71,2,1,0,2024-10-04
Alberto Moreno,Como,18,ESP,LB,32-091,89,0,0,0,0,1,0,0,0,80,0,3,1,0.0,0.0,0.0,2,0,68,72,"94,4",8,60,2,1,0,2024-10-04
Marco Sala,Como,3,ITA,LB,25-122,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",0,1,0,0,0,2024-10-04
Marc-Oliver Kempf,Como,2,GER,CB,29-250,90,0,0,0,0,0,0,0,0,75,1,3,0,0.0,0.0,0.0,1,0,65,69,"94,2",8,53,0,0,0,2024-10-04
Alberto Dossena,Como,13,ITA,CB,25-357,90,0,0,0,0,0,0,0,0,81,2,1,2,0.0,0.0,0.0,0,0,64,70,"91,4",5,49,1,0,0,2024-10-04
Ignace Van Der Brempt,Como,77,BEL,RB,22-186,82,0,0,0,0,1,0,0,0,77,4,0,2,0.0,0.0,0.0,1,0,52,64,"81,3",2,41,1,0,0,2024-10-04
Yannik Engelhardt,Como,26,GER,"RB,CM",23-240,8,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,16,17,"94,1",1,10,0,1,1,2024-10-04
Emil Audero,Como,1,ITA,GK,27-260,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,19,22,"86,4",0,12,0,0,0,2024-10-04
Daniel Mosquera,Hellas Verona,35,COL,FW,24-350,64,0,1,0,0,3,0,0,0,23,2,0,1,0.3,0.3,0.4,3,1,10,15,"66,7",2,11,1,1,1,2024-10-04
Grigoris Kastanos,Hellas Verona,20,CYP,"RW,FW",26-248,26,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,2,0,8,13,"61,5",1,12,1,1,0,2024-10-04
Dailon Livramento,Hellas Verona,14,CPV,"LW,FW",23-153,78,0,0,0,0,3,0,0,0,22,4,0,0,0.3,0.3,0.3,2,0,4,8,"50,0",1,11,2,1,0,2024-10-04
Amin Sarr,Hellas Verona,9,SWE,FW,23-207,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,6,"16,7",0,5,1,0,0,2024-10-04
Darko Lazović,Hellas Verona,8,SRB,"RW,LW,CM",34-019,90,0,0,0,0,1,0,0,0,46,1,2,0,0.1,0.1,0.0,1,0,22,34,"64,7",4,25,1,0,0,2024-10-04
Casper Tengstedt,Hellas Verona,11,DEN,AM,24-125,88,1,0,0,0,6,1,0,0,39,0,1,1,0.9,0.9,0.0,2,0,16,23,"69,6",1,22,1,2,2,2024-10-04
Diego Coppola,Hellas Verona,42,ITA,"CB,AM",20-281,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",1,0,0,0,0,2024-10-04
Reda Belahyane,Hellas Verona,6,MAR,"DM,CM",20-125,90,0,0,0,0,0,0,0,0,62,3,0,0,0.0,0.0,0.1,4,0,42,51,"82,4",10,36,1,2,0,2024-10-04
Ondrej Duda,Hellas Verona,33,SVK,DM,29-304,78,0,0,0,0,2,1,1,0,71,0,1,0,0.1,0.1,0.8,9,1,49,63,"77,8",7,38,1,3,2,2024-10-04
Daniel Bandeira,Hellas Verona,21,POR,"DM,CM",24-176,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,6,"83,3",0,4,0,0,0,2024-10-04
Domagoj Bradarić,Hellas Verona,12,CRO,LB,24-299,90,0,0,0,0,1,1,1,0,66,0,0,0,0.0,0.0,0.5,6,0,53,63,"84,1",3,29,1,2,1,2024-10-04
Daniele Ghilardi,Hellas Verona,87,ITA,CB,21-272,88,0,0,0,0,0,0,0,0,50,2,1,1,0.0,0.0,0.0,1,0,33,38,"86,8",1,23,0,0,0,2024-10-04
Yllan Okou,Hellas Verona,15,FRA,CB,21-286,2,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,0,2,"0,0",0,1,0,0,0,2024-10-04
Giangiacomo Magnani,Hellas Verona,23,ITA,CB,29-000,90,0,0,0,0,3,0,1,0,49,3,1,2,0.4,0.4,0.0,1,0,25,34,"73,5",4,22,0,1,0,2024-10-04
Jackson Tchatchoua,Hellas Verona,38,CMR,RB,23-020,90,0,0,0,0,0,0,0,0,48,1,1,2,0.0,0.0,0.1,2,0,29,40,"72,5",3,27,4,1,0,2024-10-04
Lorenzo Montipò,Hellas Verona,1,ITA,GK,28-227,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,17,25,"68,0",0,9,0,0,0,2024-10-04
Joel Pohjanpalo,Venezia,20,FIN,FW,30-021,72,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.2,2,0,9,14,"64,3",3,8,0,0,0,2024-10-04
Christian Gytkjær,Venezia,9,DEN,FW,34-151,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,"60,0",0,1,0,0,0,2024-10-04
Gaetano Oristanio,Venezia,11,ITA,FW,22-006,72,1,0,0,0,3,1,0,0,27,1,0,0,0.2,0.2,0.2,4,0,8,10,"80,0",2,16,2,4,1,2024-10-04
John Yeboah,Venezia,10,ECU,FW,24-103,18,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,14,"71,4",2,10,4,1,0,2024-10-04
Gianluca Busio,Venezia,6,USA,CM,22-129,90,0,0,0,0,4,1,0,0,53,1,1,1,0.1,0.1,0.0,5,0,31,38,"81,6",3,22,3,1,0,2024-10-04
Hans Nicolussi Caviglia,Venezia,14,ITA,CM,24-108,90,0,1,0,0,1,0,0,0,67,3,2,1,0.0,0.0,0.2,4,1,41,52,"78,8",5,26,1,1,1,2024-10-04
Issa Doumbia,Venezia,97,CIV,CM,20-354,60,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.0,3,0,14,19,"73,7",1,11,0,0,0,2024-10-04
Mikael Ellertsson,Venezia,77,ISL,CM,22-207,30,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,"66,7",0,2,0,0,0,2024-10-04
Ridgeciano Haps,Venezia,5,SUR,WB,31-114,60,0,0,0,0,2,0,0,0,21,1,0,0,0.3,0.3,0.0,1,0,8,15,"53,3",0,8,1,0,0,2024-10-04
Francesco Zampano,Venezia,7,ITA,WB,31-004,30,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,12,17,"70,6",1,14,2,0,0,2024-10-04
Antonio Candela,Venezia,27,ITA,WB,24-160,90,0,0,0,0,1,0,0,0,50,3,0,1,0.0,0.0,0.3,3,0,26,38,"68,4",2,29,2,1,1,2024-10-04
Marin Šverko,Venezia,33,CRO,CB,26-243,84,0,0,0,0,2,0,0,0,57,1,0,2,0.1,0.1,0.0,2,0,36,46,"78,3",7,27,0,1,0,2024-10-04
Antonio Raimondo,Venezia,45,ITA,CB,20-200,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,"66,7",0,0,0,0,0,2024-10-04
Michael Svoboda,Venezia,30,AUT,CB,25-355,90,0,0,0,0,0,0,0,0,62,2,1,2,0.0,0.0,0.0,0,0,43,51,"84,3",5,29,0,1,1,2024-10-04
Jay Idzes,Venezia,4,IDN,CB,24-124,90,0,0,0,0,0,0,0,0,66,2,1,2,0.0,0.0,0.0,1,0,39,51,"76,5",3,27,0,1,0,2024-10-04
Jesse Joronen,Venezia,1,FIN,GK,31-197,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,33,"75,8",0,12,0,0,0,2024-10-04
Brenner,Udinese,22,BRA,FW,24-263,45,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,12,19,"63,2",0,14,0,1,1,2024-10-05
Keinan Davis,Udinese,9,ENG,FW,26-235,45,0,0,0,0,2,0,0,0,20,0,0,0,0.2,0.2,0.0,0,0,14,15,"93,3",1,12,1,3,2,2024-10-05
Lorenzo Lucca,Udinese,17,ITA,FW,24-025,77,0,0,0,0,1,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,11,18,"61,1",1,13,0,1,0,2024-10-05
Iker Bravo,Udinese,21,ESP,FW,19-266,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,4,0,6,6,"100,0",1,5,1,2,1,2024-10-05
Jurgen Ekkelenkamp,Udinese,32,NED,CM,24-183,90,0,0,0,0,0,0,0,0,42,3,2,2,0.0,0.0,0.0,0,0,26,31,"83,9",9,24,0,0,0,2024-10-05
Jesper Karlström,Udinese,25,SWE,CM,29-106,90,0,0,0,0,0,0,0,0,69,2,2,2,0.0,0.0,0.1,1,0,43,59,"72,9",4,42,2,0,0,2024-10-05
Oier Zarraga,Udinese,6,ESP,CM,25-275,77,0,0,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.0,1,0,28,34,"82,4",6,24,1,0,0,2024-10-05
Arthur Atta,Udinese,14,FRA,CM,21-265,13,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.1,1,0,7,9,"77,8",2,7,0,1,1,2024-10-05
Jordan Zemura,Udinese,33,ZIM,WB,24-326,89,1,0,0,0,2,1,0,0,53,2,1,2,0.4,0.4,0.1,4,0,25,38,"65,8",6,25,1,4,2,2024-10-05
James Abankwah,Udinese,4,IRL,WB,20-263,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",0,0,0,0,0,2024-10-05
Kingsley Ehizibue,Udinese,19,NED,WB,29-133,66,0,0,0,0,0,0,1,0,51,1,0,0,0.0,0.0,0.0,1,0,26,38,"68,4",4,25,3,2,0,2024-10-05
Hassane Kamara,Udinese,11,CIV,WB,30-214,24,0,0,0,0,1,1,1,0,23,1,1,0,0.1,0.1,0.0,3,2,10,14,"71,4",0,13,4,3,0,2024-10-05
Souleymane Touré,Udinese,95,FRA,CB,21-191,90,0,0,0,0,0,0,0,0,49,1,1,2,0.0,0.0,0.0,0,0,38,40,"95,0",2,25,0,1,0,2024-10-05
Jaka Bijol,Udinese,29,SVN,CB,25-243,90,0,0,0,0,2,1,0,0,79,4,3,1,0.0,0.0,0.0,1,0,57,69,"82,6",4,61,3,0,0,2024-10-05
Christian Kabasele,Udinese,27,BEL,CB,33-224,90,0,0,0,0,3,1,0,0,68,1,1,1,0.2,0.2,0.0,2,0,43,59,"72,9",8,37,0,0,0,2024-10-05
Maduka Okoye,Udinese,40,NGA,GK,25-038,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,31,38,"81,6",0,26,0,0,0,2024-10-05
Nikola Krstović,Lecce,9,MNE,FW,24-183,90,0,0,0,0,1,1,0,0,31,2,1,0,0.0,0.0,0.0,1,0,16,21,"76,2",0,15,0,4,0,2024-10-05
Ante Rebić,Lecce,3,CRO,LW,31-014,62,0,0,0,0,0,0,1,0,31,1,0,0,0.0,0.0,0.2,1,0,12,26,"46,2",4,14,0,2,1,2024-10-05
Santiago Pierotti,Lecce,50,ARG,"LW,RW",23-185,28,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.0,0,0,3,6,"50,0",0,5,0,0,0,2024-10-05
Patrick Dorgu,Lecce,13,DEN,"RW,RB",19-345,90,0,0,0,0,3,0,0,0,39,3,3,1,0.3,0.3,0.0,0,0,11,21,"52,4",1,17,4,2,0,2024-10-05
Lassana Coulibaly,Lecce,29,MLI,"AM,DM",28-178,90,0,0,0,0,1,1,0,0,36,1,2,3,0.1,0.1,0.0,3,0,19,25,"76,0",1,16,1,2,0,2024-10-05
Ylber Ramadani,Lecce,20,ALB,DM,28-176,78,0,0,0,0,1,0,0,0,48,2,0,0,0.0,0.0,0.0,2,0,30,38,"78,9",2,27,1,2,1,2024-10-05
Remi Oudin,Lecce,10,FRA,AM,27-322,12,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,"83,3",0,5,0,1,1,2024-10-05
Balthazar Pierret,Lecce,75,FRA,DM,24-143,62,0,0,0,0,0,0,0,0,34,2,1,2,0.0,0.0,0.0,0,0,21,26,"80,8",1,12,0,2,1,2024-10-05
Hamza Rafia,Lecce,8,TUN,DM,25-186,28,0,0,0,0,1,0,0,0,18,3,0,0,0.0,0.0,0.0,1,0,9,13,"69,2",0,6,1,0,0,2024-10-05
Antonino Gallo,Lecce,25,ITA,LB,24-274,90,0,0,0,0,1,0,0,0,74,2,3,2,0.0,0.0,0.1,2,0,44,63,"69,8",6,37,3,2,2,2024-10-05
Federico Baschirotto,Lecce,6,ITA,CB,28-015,90,0,0,0,0,1,1,1,0,57,1,0,2,0.0,0.0,0.0,0,0,40,44,"90,9",1,21,0,0,0,2024-10-05
Kialonda,Lecce,4,ANG,CB,27-008,90,0,0,0,0,0,0,0,0,57,1,1,3,0.0,0.0,0.0,1,0,33,40,"82,5",0,24,0,3,2,2024-10-05
Frederic Guilbert,Lecce,12,FRA,RB,29-286,78,0,0,0,0,0,0,0,0,48,2,2,0,0.0,0.0,0.2,2,0,28,41,"68,3",6,23,4,4,1,2024-10-05
Tete Morente,Lecce,7,ESP,LW,27-306,12,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,3,4,"75,0",1,3,0,1,1,2024-10-05
Wladimiro Falcone,Lecce,30,ITA,GK,29-176,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,18,21,"85,7",0,15,0,0,0,2024-10-05
Mateo Retegui,Atalanta,32,ITA,FW,25-159,81,3,1,1,1,5,2,0,0,36,0,0,0,1.8,1.0,0.3,8,2,19,26,"73,1",3,26,0,2,0,2024-10-05
Vanja Vlahović,Atalanta,48,SRB,FW,20-196,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,4,0,0,0,2024-10-05
Ademola Lookman,Atalanta,11,NGA,AM,26-351,67,0,1,0,0,3,1,0,0,42,0,1,1,0.3,0.3,1.0,12,2,29,35,"82,9",3,26,4,1,1,2024-10-05
Nicolò Zaniolo,Atalanta,10,ITA,AM,25-095,23,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,12,14,"85,7",2,11,0,1,1,2024-10-05
Charles De Ketelaere,Atalanta,17,BEL,AM,23-209,68,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.2,2,0,26,31,"83,9",2,26,2,4,1,2024-10-05
Lazar Samardzic,Atalanta,24,SRB,AM,22-224,22,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,2,1,15,21,"71,4",3,16,2,1,1,2024-10-05
Mario Pašalić,Atalanta,8,CRO,CM,29-239,90,0,0,0,0,2,0,0,0,104,1,0,1,0.6,0.6,0.0,5,0,90,97,"92,8",10,76,2,1,0,2024-10-05
Éderson,Atalanta,13,BRA,CM,25-090,77,1,0,0,0,4,3,0,0,62,0,2,0,0.2,0.2,0.0,4,2,46,50,"92,0",7,43,1,2,2,2024-10-05
Ibrahim Sulemana,Atalanta,6,GHA,CM,21-136,13,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,13,15,"86,7",1,11,0,0,0,2024-10-05
Davide Zappacosta,Atalanta,77,ITA,WB,32-116,90,0,0,0,0,2,0,0,0,67,1,1,0,0.1,0.1,0.1,3,1,53,58,"91,4",2,40,3,0,0,2024-10-05
Raoul Bellanova,Atalanta,16,ITA,WB,24-141,77,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,18,27,"66,7",0,14,0,2,0,2024-10-05
Marco Palestra,Atalanta,27,ITA,WB,19-216,13,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,13,"92,3",0,7,0,1,0,2024-10-05
Sead Kolašinac,Atalanta,23,BIH,CB,31-107,90,0,0,0,0,1,0,0,0,77,2,5,0,0.1,0.1,0.4,2,0,61,67,"91,0",6,49,2,1,1,2024-10-05
Isak Hien,Atalanta,4,SWE,CB,25-266,90,0,0,0,0,2,0,0,0,76,2,1,1,0.4,0.4,0.0,0,0,57,60,"95,0",3,45,1,2,1,2024-10-05
Marten de Roon,Atalanta,15,NED,CB,33-190,90,1,0,0,0,1,1,0,0,88,2,5,2,0.0,0.0,0.4,3,0,68,76,"89,5",9,49,0,1,0,2024-10-05
Marco Carnesecchi,Atalanta,29,ITA,GK,24-096,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,18,23,"78,3",0,17,0,0,0,2024-10-05
Andrea Pinamonti,Genoa,19,ITA,FW,25-139,66,0,0,0,0,1,0,0,0,18,0,0,1,0.1,0.1,0.0,1,0,6,13,"46,2",0,5,0,0,0,2024-10-05
Jeff Ekhator,Genoa,21,ITA,FW,17-329,24,1,0,0,0,1,1,0,0,6,0,0,0,0.5,0.5,0.0,0,0,3,5,"60,0",0,3,0,0,0,2024-10-05
Vitinha,Genoa,9,POR,FW,24-204,85,0,0,0,0,1,0,0,0,26,4,0,0,0.0,0.0,0.0,1,0,8,13,"61,5",2,11,0,2,1,2024-10-05
David Akpan Ankeye,Genoa,30,NGA,FW,22-234,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,0,0,0,0,2024-10-05
Fabio Miretti,Genoa,23,ITA,CM,21-063,66,0,0,0,0,0,0,0,0,30,3,0,0,0.0,0.0,0.1,3,0,16,20,"80,0",2,14,0,2,0,2024-10-05
Filippo Melegoni,Genoa,72,ITA,CM,25-230,24,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.5,1,1,4,6,"66,7",1,5,0,1,0,2024-10-05
Emil Bohinen,Genoa,8,NOR,CM,25-207,90,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.0,1,0,40,49,"81,6",3,28,3,0,0,2024-10-05
Morten Thorsby,Genoa,2,NOR,CM,28-153,90,0,0,0,0,0,0,0,0,25,1,0,2,0.0,0.0,0.0,0,0,8,18,"44,4",2,8,0,0,0,2024-10-05
Aarón Martín,Genoa,3,ESP,WB,27-166,80,0,0,0,0,1,0,0,0,39,4,0,1,0.0,0.0,0.1,2,0,24,33,"72,7",0,22,0,0,0,2024-10-05
Brooke Norton-Cuffy,Genoa,15,ENG,WB,20-267,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,1,2,3,"66,7",1,1,0,0,0,2024-10-05
Alessandro Zanoli,Genoa,59,ITA,WB,24-002,90,0,0,0,0,0,0,0,0,36,0,1,2,0.0,0.0,0.0,2,0,27,31,"87,1",1,17,1,1,1,2024-10-05
Johan Vásquez,Genoa,22,MEX,CB,25-349,90,0,0,0,0,2,0,0,0,60,2,5,3,0.0,0.0,0.0,1,0,38,40,"95,0",0,20,0,0,0,2024-10-05
Mattia Bani,Genoa,13,ITA,CB,30-300,45,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,19,"89,5",0,9,0,0,0,2024-10-05
Alessandro Vogliacco,Genoa,14,ITA,CB,26-021,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,23,23,"100,0",1,13,0,0,0,2024-10-05
Koni De Winter,Genoa,4,BEL,CB,22-115,90,0,0,0,0,1,1,0,0,63,0,2,2,0.1,0.1,0.0,0,0,36,44,"81,8",2,20,1,2,1,2024-10-05
Pierluigi Gollini,Genoa,95,ITA,GK,29-201,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,43,47,"91,5",0,22,0,0,0,2024-10-05
Lautaro Martínez,Internazionale,10,ARG,FW,27-044,90,0,0,0,0,6,1,0,0,33,4,0,0,0.4,0.4,0.0,1,1,18,22,"81,8",2,19,1,1,1,2024-10-05
Marcus Thuram,Internazionale,9,FRA,FW,27-060,67,3,0,0,0,5,3,0,0,25,1,0,2,0.6,0.6,0.2,2,0,7,13,"53,8",2,8,0,2,0,2024-10-05
Mehdi Taremi,Internazionale,99,IRN,FW,32-079,23,0,0,0,0,2,2,0,0,11,1,0,0,0.8,0.8,0.0,0,0,4,5,"80,0",0,7,0,1,1,2024-10-05
Henrikh Mkhitaryan,Internazionale,22,ARM,CM,35-258,76,0,0,0,0,1,0,0,0,79,2,1,0,0.0,0.0,0.1,11,0,62,73,"84,9",10,50,6,1,1,2024-10-05
Piotr Zieliński,Internazionale,7,POL,CM,30-138,14,0,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,3,0,8,8,"100,0",1,5,1,1,1,2024-10-05
Hakan Çalhanoğlu,Internazionale,20,TUR,CM,30-240,90,0,0,0,0,3,0,0,0,142,3,3,0,0.1,0.1,0.1,12,1,116,130,"89,2",14,104,4,0,0,2024-10-05
Davide Frattesi,Internazionale,16,ITA,CM,24-349,90,0,0,0,0,1,0,0,0,32,0,1,0,0.0,0.0,0.1,1,0,26,26,"100,0",2,20,1,0,0,2024-10-05
Federico Dimarco,Internazionale,32,ITA,WB,26-330,90,0,0,0,0,4,1,0,0,87,1,0,0,0.3,0.3,0.1,6,0,57,76,"75,0",6,51,3,1,0,2024-10-05
Matteo Darmian,Internazionale,36,ITA,WB,34-308,67,0,0,0,0,3,0,0,0,64,0,0,0,0.1,0.1,0.0,0,0,49,59,"83,1",3,48,0,1,1,2024-10-05
Denzel Dumfries,Internazionale,2,NED,WB,28-170,23,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,11,14,"78,6",0,8,2,1,0,2024-10-05
Alessandro Bastoni,Internazionale,95,ITA,CB,25-175,81,0,1,0,0,1,0,0,0,122,0,1,0,0.1,0.1,0.2,8,2,110,115,"95,7",14,93,6,0,0,2024-10-05
Stefan de Vrij,Internazionale,6,NED,CB,32-243,9,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,13,13,"100,0",0,12,0,0,0,2024-10-05
Francesco Acerbi,Internazionale,15,ITA,CB,36-238,90,0,1,0,0,1,0,0,0,122,0,1,1,0.2,0.2,0.2,3,1,108,113,"95,6",9,89,1,0,0,2024-10-05
Yann Aurel Bisseck,Internazionale,31,GER,CB,23-311,45,0,0,0,0,0,0,1,0,67,0,0,0,0.0,0.0,0.0,1,0,60,64,"93,8",9,54,3,1,0,2024-10-05
Benjamin Pavard,Internazionale,28,FRA,CB,28-191,45,0,0,0,0,1,0,0,0,55,2,1,0,0.0,0.0,0.3,4,0,44,47,"93,6",0,44,0,0,0,2024-10-05
Yann Sommer,Internazionale,1,SUI,GK,35-293,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,24,26,"92,3",0,22,0,0,0,2024-10-05
Duván Zapata,Torino,91,COL,FW,33-187,83,1,0,0,0,2,1,0,0,30,1,1,1,0.7,0.7,0.0,1,0,9,11,"81,8",0,10,1,3,0,2024-10-05
Yann Karamoh,Torino,7,FRA,FW,26-089,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",1,0,0,0,0,2024-10-05
Che Adams,Torino,18,SCO,"FW,RM",28-084,31,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,"50,0",0,2,0,0,0,2024-10-05
Adam Masina,Torino,5,MAR,CB,30-277,59,0,0,0,0,0,0,0,0,24,1,0,4,0.0,0.0,0.0,2,2,7,10,"70,0",0,4,1,1,1,2024-10-05
Gvidas Gineitis,Torino,66,LTU,"CM,LM",20-173,61,0,1,0,0,1,1,0,0,25,0,1,1,0.0,0.0,0.7,3,1,9,14,"64,3",1,7,0,0,0,2024-10-05
Ivan Ilić,Torino,8,SRB,CM,23-202,29,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,7,"42,9",0,7,0,1,0,2024-10-05
Karol Linetty,Torino,77,POL,CM,29-246,90,0,0,0,0,0,0,1,0,31,3,1,2,0.0,0.0,0.0,1,0,10,16,"62,5",1,9,0,3,2,2024-10-05
Samuele Ricci,Torino,28,ITA,CM,23-045,83,0,0,0,0,1,1,0,0,26,0,0,2,0.0,0.0,0.0,1,0,9,17,"52,9",2,10,1,0,0,2024-10-05
Nikola Vlašić,Torino,10,CRO,CM,27-001,7,1,0,1,1,0,0,0,0,2,0,0,0,0.8,0.0,0.0,0,0,1,1,"100,0",0,0,0,0,0,2024-10-05
Valentino Lazaro,Torino,20,AUT,"LB,WB",28-195,61,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,2,0,10,11,"90,9",0,7,0,1,0,2024-10-05
Mërgim Vojvoda,Torino,27,KVX,LB,29-247,29,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,8,"62,5",1,5,0,1,0,2024-10-05
Marcus Pedersen,Torino,16,NOR,"RB,WB",24-081,90,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,2,0,13,21,"61,9",0,8,2,1,0,2024-10-05
Saúl Coco,Torino,23,EQG,CB,25-239,90,0,0,0,0,1,1,0,0,30,0,1,1,0.0,0.0,0.0,0,0,14,19,"73,7",0,12,0,0,0,2024-10-05
Guillermo Maripán,Torino,13,CHI,CB,30-152,19,0,0,0,0,0,0,0,1,9,0,0,0,0.0,0.0,0.0,0,0,8,8,"100,0",0,5,0,0,0,2024-10-05
Sebastian Walukiewicz,Torino,4,POL,CB,24-183,90,0,0,0,0,0,0,1,0,32,0,2,1,0.0,0.0,0.0,0,0,14,22,"63,6",2,14,1,0,0,2024-10-05
Vanja Milinković-Savić,Torino,32,SRB,GK,27-228,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,21,35,"60,0",0,13,0,0,0,2024-10-05
Dušan Vlahović,Juventus,9,SRB,FW,24-252,90,1,0,1,1,5,1,0,0,30,0,0,0,1.8,1.0,0.3,5,0,16,20,"80,0",1,20,2,1,1,2024-10-06
Samuel Mbangula,Juventus,51,BEL,LW,20-264,76,0,0,0,0,1,0,0,0,45,3,0,0,0.1,0.1,0.0,4,0,34,36,"94,4",2,26,1,3,0,2024-10-06
Kenan Yıldız,Juventus,10,TUR,LW,19-155,14,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,11,15,"73,3",3,10,5,1,1,2024-10-06
Francisco Conceição,Juventus,7,POR,RW,21-297,88,0,0,0,0,3,2,2,1,49,2,0,1,0.1,0.1,0.3,5,0,31,41,"75,6",3,43,6,5,4,2024-10-06
Teun Koopmeiners,Juventus,8,NED,AM,26-221,45,0,0,0,0,3,1,0,0,40,3,0,0,0.2,0.2,0.1,3,0,23,33,"69,7",1,24,0,0,0,2024-10-06
Nicolò Fagioli,Juventus,21,ITA,AM,23-237,45,0,0,0,0,1,0,0,0,49,1,0,0,0.0,0.0,0.0,1,0,40,46,"87,0",8,38,5,1,1,2024-10-06
Manuel Locatelli,Juventus,5,ITA,DM,26-272,61,0,0,0,0,0,0,0,0,70,3,0,1,0.0,0.0,0.0,3,0,60,63,"95,2",7,43,0,0,0,2024-10-06
